PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;FailureCause;BreedSucc;EggPosX;EggPosY;EggExact;HatchExact;FledgeExact;ChickMinAge;Comment
Farallon-3-2017-8;1;2017-05-12;2017-06-13;2017-07-03;;;1;NA;NA;1;1;1;20;
Farallon-3-2017-7;1;2017-05-13;2017-06-15;2017-07-03;;;1;NA;NA;1;1;1;18;
Farallon-3-2017-5;1;2017-05-13;2017-06-15;2017-07-05;;;1;NA;NA;1;1;1;20;
Farallon-3-2017-4;1;2017-05-14;;;2017-07-03;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170703
Triangle-2-2017-1;1;2017-05-14;;;2017-06-11;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170611
Bonden-2-2017-1;1;2017-05-15;2017-06-16;2017-07-05;;;1;NA;NA;1;4;1;19;
Farallon-1-2017-2;1;2017-05-15;;;;;0;NA;NA;1;NA;NA;NA;Oklara obsar gällande om ägg kläcktes eller ej. Häckning misslyckad oavsett. MED I BERÄKNINGARNA. *ABH111 häckade med ABH792 2016, finns inga anteckningar om att ABH111 hör till samma par 2017, men har obsats på samma hylla 13 ggr under 2017.
Farallon-1-2017-4;1;2017-05-15;2017-06-17;2017-07-02;;;0;NA;NA;1;1;2;14;För ung för att räknas som flygg
Farallon-2-2017-1;1;2017-05-15;2017-06-17;2017-07-05;;;1;NA;NA;1;1;1;18;
Farallon-4-2017-1;1;2017-05-15;2017-06-20;2017-07-06;;;1;NA;NA;1;13;1;16;
Triangle-2-2017-3;1;2017-05-15;2017-06-18;2017-07-06;;;1;NA;NA;1;4;2;17;
Rost-3-2017-5;1;2017-05-16;2017-06-18;2017-06-26;;;0;NA;NA;1;1;1;8;För ung för att räknas som flygg
Rost-3-2017-4;1;2017-05-17;2017-06-19;2017-07-09;;;NA;NA;NA;1;1;NA;NA;Oklarheter ang flyggdag pga rörigt på hyllan. EJ MED I BERÄKNINGARNA.
Triangle-2-2017-2;1;2017-05-17;2017-06-20;2017-07-08;;;1;NA;NA;1;2;2;17;
Bonden-4-2017-4;1;2017-05-18;2017-06-21;2017-07-06;;;1;NA;NA;1;2;1;15;
Farallon-3-2017-3;1;2017-05-18;;;2017-06-19;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170619 (ev just kläckt ägg, ungen iaf observerad död men ingen U sedd tidigare dagar).
Rost-2-2017-4;1;2017-05-18;2017-06-20;2017-07-09;;;1;NA;NA;1;2;2;18;"Anteckning gör gällande att en av fåglarna kan ha en stålring som slutar på ""68"", någon sådan fågel har dock aldrig obsats i övrigt på den hyllan under hela säsongen"
Rost-2-2017-5;1;2017-05-19;2017-06-22;2017-07-06;;;0;NA;NA;1;3;1;14;För ung för att räknas som flygg
Triangle-2-2017-4;1;2017-05-20;2017-06-23;2017-07-09;;;1;NA;NA;1;1;1;16;
Farallon-4-2017-2;1;2017-05-21;2017-06-20;2017-07-07;;;1;NA;NA;1;1;1;17;
Rost-5-2017-5;1;2017-05-21;2017-06-26;2017-07-15;;;1;NA;NA;1;3;1;19;
Triangle-2-2017-5;1;2017-05-21;2017-06-22;2017-07-06;;;0;NA;NA;1;1;2;13;För ung för att räknas som flygg
Triangle-3-2017-2;1;2017-05-21;2017-06-23;2017-07-11;;;1;NA;NA;1;1;1;18;
Rost-6-2017-1;1;2017-05-23;2017-06-24;;;;NA;NA;NA;2;1;NA;NA;Häckning ej avslutad vid studiens slut. EJ MED I BERÄKNINGARNA.
Bonden-5-2017-1;1;2017-05-24;;;2017-06-17;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170617
Rost-3-2017-2;1;2017-05-24;2017-06-25;2017-07-09;;;NA;NA;NA;1;1;NA;NA;Oklarheter ang flyggdag pga rörigt på hyllan. EJ MED I BERÄKNINGARNA.
Bonden-5-2017-3;1;2017-05-26;;;2017-06-23;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170623
Bonden-5-2017-2;1;2017-05-26;2017-06-30;2017-07-10;;;NA;NA;NA;1;2;1;10?;Par 2 tog över platsen tillhörande par 1 när dessas ägg förlorades. Oklar flyggdag för par 2, då Ä-obsar gjorts efter det att U-obsar gjorts på slutet. Felaktigt inskrivna Ä när det borde varit U? För osäkert, EJ MED I BERÄKNINGARNA.
Bonden-6-2017-1;1;2017-05-26;;;2017-06-22;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170622
Triangle-1-2017-1;1;2017-05-26;2017-06-26;2017-07-15;;;1;NA;NA;1;1;1;19;
Farallon-5-2017-1;1;2017-05-30;;;2017-05-31;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170531
Bonden-6-2017-2;1;2017-05-31;;;2017-06-21;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170621
Farallon-1-2017-3;1;2017-06-03;;;2017-06-05;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170605
Triangle-3-2017-3;1;2017-06-04;;;2017-07-05;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170705
Bonden-6-2017-3;1;2017-06-13;;;2017-07-06;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170706
Rost-6-2017-2;1;2017-06-17;;;2017-07-07;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170707
Bonden-1-2018-1;1;2018-05-06;2018-06-07;2018-06-28;;;1;108;Inner;1;2;2;20;
Rost-2-2018-1;1;2018-05-08;2018-06-09;2018-07-04;;;1;116;Inner;1;1;1;25;
Rost-6-2018-1;1;2018-05-08;2018-06-14;2018-06-28;;;0;100;Inner/middle;1;3;1;14;
Rost-2-2018-2;1;2018-05-08;;;2018-06-06;;0;148;Inner;1;NA;NA;NA;Ägg trasig 6/6.
Rost-3-2018-1;1;2018-05-08;;;2018-05-09;;0;100;Middle;1;NA;NA;NA;Ä1 förlorat 9/5.
Bonden-3-2018-1;1;2018-05-10;2018-06-12;2018-07-04;;;1;115;Inner;1;1;1;22;
Farallon-3-2018-1;1;2018-05-10;2018-06-12;2018-07-04;;;1;100;Inner;1;1;1;22;
Farallon-3-2018-2;1;2018-05-10;2018-06-12;2018-07-04;;;1;207;Inner;1;1;1;22;
Rost-2-2018-4;1;2018-05-10;2018-06-12;2018-06-26;;Human disturbance;NA;173;Inner;1;1;NA;NA;U hoppade ner till naturlig häckhylla i samband med märkning på Röst 2. Oklart huruvida förälder kommer följa med och ta hand om den eller ej. EJ MED I BERÄKNINGARNA.
Rost-5-2018-1;1;2018-05-10;;;2018-06-14;;0;146;Middle;1;NA;NA;NA;Ä1 förlorat 14/6
Rost-2-2018-3;1;2018-05-10;2018-06-11;2018-07-04;;;1;137;Middle;1;1;1;23;
