"ID"	"PairID"	"BrAttempt"	"EggDate"	"HatchDate"	"ChickGoneDate"	"EggLossDate"	"FailureCause"	"EggCol"	"BreedSucc"	"EggPosX"	"EggPosY"	"EggExact"	"HatchExact"	"FledgeExact"	"ChickMinAge"	"DateEggLost"	"Comment"	"Field15"	"Field16"	"Field17"	"Field18"	"Field19"	"Field20"	"Field21"	"Field22"	"Field23"	"Field24"	"Field25"	"Field26"	"Field27"	"Field28"	"Field29"	"Field30"	"Field31"	"Field32"	"Field33"	"Field34"	"Field35"	"Field36"	"Field37"	"Field38"	"Field39"	"Field40"	"Field41"	"Field42"	"Field43"	"Field44"	"Field45"	"Field46"	"Field47"	"Field48"	"Field49"	"Field50"	"Field51"	"Field52"	"Field53"	"Field54"	"Field55"	"Field56"	"Field57"	"Field58"	"Field59"	"Field60"	"Field61"	"Field62"	"Field63"	"Field64"	"Field65"	"Field66"	"Field67"	"Field68"	"Field69"	"Field70"	"Field71"	"Field72"	"Field73"	"Field74"	"Field75"	"Field76"	"Field77"	"Field78"	"Field79"	"Field80"	"Field81"	"Field82"	"Field83"	"Field84"	"Field85"	"Field86"	"Field87"	"Field88"	"Field89"	"Field90"	"Field91"	"Field92"	"Field93"	"Field94"	"Field95"	"Field96"	"Field97"
80	"Triangle-2-2018-5"	"1"	2018-5-19 00:00:00			2018-6-18 00:00:00		"Green"	"0"	"198"	"Inner/middle"	"1"	"NA"	"NA"	"NA"	2018-6-18 00:00:00	"Ä1 forlorat 18/6"																																																																																			
81	"Bonden-1-2010-1"	"1"	2010-5-5 00:00:00	2010-6-7 00:00:00	2010-6-26 00:00:00			"Light blue"	"1"	"NA"	"NA"	"1"	"1"	"1"	"19"																																																																																					
82	"Bonden-3-2012-1"	"1"	2012-5-7 00:00:00	2012-6-8 00:00:00	2012-6-28 00:00:00			"Light blue"	"1"	"NA"	"NA"	"1"	"1"	"1"	"20"																																																																																					
83	"Rost-2-2012-3"	"1"	2012-5-7 00:00:00	2012-6-9 00:00:00	2012-6-18 00:00:00			"Light blue"	"0"	"NA"	"NA"	"1"	"1"	"NA"	"NA"		"U forlorad 120618. "																																																																																			
84	"Rost-3-2012-5"	"1"	2012-5-7 00:00:00	2012-6-9 00:00:00	2012-7-2 00:00:00			"Light blue"	"1"	"NA"	"NA"	"1"	"1"	"1"	"23"																																																																																					
85	"Bonden-5-2018-3"	"1"	2018-5-28 00:00:00	2018-7-3 00:00:00	2018-7-21 00:00:00			"Light blue"	"NA"	"100"	"Middle"	"1"	"2"	"3"	"16"		"Skakig närvaro av forälder på slutet, ungen är ofta ensam. Dessutom var häckningen inte klar den 16:e (även om obsar gjordes senare än så). Därmed EJ MED I BERÄKNINGARNA."																																																																																			
86	"Rost-2-2010-1"	"1"	2010-5-11 00:00:00			2010-5-12 00:00:00	"Kamerauppsättning"	"Light green"	"0"	"NA"	"NA"	"2"	"NA"	"NA"	"NA"	2010-5-12 00:00:00	"Ä1 borta 2010-05-12 (på em) pga kamerauppsättning"																																																																																			
87	"Bonden-1-2011-1"	"1"	2011-5-7 00:00:00	2011-6-7 00:00:00	2011-6-27 00:00:00			"Light green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"20"																																																																																					
88	"Bonden-3-2011-1"	"1"	2011-5-11 00:00:00	2011-6-13 00:00:00	2011-7-5 00:00:00			"Light green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"22"																																																																																					
89	"Bonden-2-2011-1"	"1"	2011-5-17 00:00:00			2011-5-19 00:00:00		"Light green"	"0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	2011-5-19 00:00:00	"Ä1 borta 2011-05-19. "																																																																																			
90	"Rost-3-2011-5"	"1"	2011-5-13 00:00:00			2011-6-15 00:00:00		"Light green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2011-6-15 00:00:00	"Ä1 trasigt 2011-06-15, såg ej ut att innehålla levande unge. Ä1 borta 2011-06-16"																																																																																			
91	"Rost-3-2011-2"	"1"	2011-5-8 00:00:00	2011-6-10 00:00:00	2011-6-30 00:00:00			"Light green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"20"																																																																																					
92	"Bonden-1-2012-1"	"1"	2012-5-5 00:00:00			2012-6-8 00:00:00		"Light green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2012-6-8 00:00:00	"Ä1 forlorat 120608"																																																																																			
93	"Bonden-2-2012-1"	"1"	2012-5-10 00:00:00	2012-6-12 00:00:00	2012-7-4 00:00:00			"Light green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"22"																																																																																					
94	"Farallon-3-2012-1"	"1"	2012-5-10 00:00:00	2012-6-12 00:00:00	2012-7-4 00:00:00			"Light green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"22"																																																																																					
95	"Rost-3-2012-3"	"1"	2012-5-10 00:00:00	2012-6-12 00:00:00	2012-7-2 00:00:00			"Light green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"20"																																																																																					
